timestamp,machine_id,machine_type,machine_age_years,operating_hours,load_pct,temperature_c,vibration_mm_s,pressure_bar,rpm,failure_flag,failure_type,downtime_hours,downtime_reason,production_units,defect_units,good_units,energy_kwh,maintenance_hours,maintenance_cost_inr,setup_hours,revenue_inr,downtime_loss_inr,scrap_cost_inr,total_loss_inr,availability_pct,performance_pct,quality_pct,oee_pct
2025-01-01 01:00:00,M-024,Grinding,13,21.74,84.17,101.71,2.269,123.82,1743,1,Mechanical,9.55,Mechanical Failure,456,13,443,412.49,8.18,12975.06,0.0,92969.15,90277.21,1501.5,104753.76,56.06,46.58,97.15,25.37
2025-01-01 01:00:00,M-025,CNC Mill,7,17.21,72.89,94.03,2.068,129.94,1472,0,No Failure,0.51,No Downtime,745,24,721,291.7,0.0,0.0,0.0,133429.32,4860.41,2442.0,7302.41,97.06,83.28,96.78,78.24
2025-01-01 01:00:00,M-016,CNC Mill,15,17.05,80.09,91.1,2.521,117.17,1624,1,Mechanical,3.42,Mechanical Failure,581,19,562,320.5,5.04,9216.98,0.84,103966.7,32869.87,1933.25,44020.1,79.96,65.52,96.73,50.68
2025-01-01 02:00:00,M-020,Grinding,11,13.79,71.01,92.84,2.607,107.46,1797,1,Mechanical,9.8,Mechanical Failure,185,10,175,246.72,3.18,8793.0,0.0,36664.51,92574.39,1155.0,102522.39,28.96,29.75,94.58,8.15
2025-01-01 02:00:00,M-016,CNC Mill,15,19.7,79.94,86.71,3.094,133.93,1663,1,Mechanical,3.55,Mechanical Failure,882,29,853,370.44,9.19,14977.7,0.0,157759.04,34165.95,2950.75,52094.4,81.97,86.07,96.71,68.23
2025-01-01 04:00:00,M-006,CNC Mill,4,12.98,75.96,78.59,2.644,116.95,1468,0,No Failure,0.38,No Downtime,612,11,601,233.83,0.0,0.0,0.0,111228.69,3631.8,1119.25,4751.05,97.09,90.71,98.2,86.49
2025-01-01 04:00:00,M-005,CNC Lathe,11,18.82,100.0,96.47,3.064,107.16,1637,1,Overheating,5.23,Overheating Failure,670,26,644,400.24,5.39,9051.57,0.0,119195.16,50290.83,2645.5,61987.9,72.22,68.49,96.12,47.55
2025-01-01 05:00:00,M-021,Injection Molding,8,18.93,83.92,92.91,2.612,137.2,1509,1,Electrical,3.38,Electrical Failure,814,35,779,367.66,8.62,13197.16,0.0,74036.05,19278.61,1828.75,34304.52,82.13,71.7,95.7,56.36
2025-01-01 06:00:00,M-004,Injection Molding,2,15.35,70.07,91.7,2.261,116.32,1889,0,No Failure,0.87,Setup/Changeover,794,33,761,266.74,0.0,0.0,1.89,72303.49,4949.63,1724.25,6673.88,94.34,86.22,95.84,77.96
2025-01-01 07:00:00,M-002,CNC Lathe,11,18.27,76.12,89.57,3.823,128.17,2071,0,No Failure,0.16,No Downtime,860,39,821,324.78,0.0,0.0,0.0,151810.37,1512.66,3968.25,5480.91,99.14,90.48,95.46,85.63
2025-01-01 07:00:00,M-028,CNC Mill,7,17.74,65.51,86.07,1.799,118.37,2157,1,Electrical,29.92,Electrical Failure,0,0,0,303.79,3.51,6513.24,0.0,0.0,287830.43,0.0,294343.67,0.0,0.0,0.0,0.0
